sample_ID,genotype,treatment,rep_number_tank,coral_species,sp,tank
A01_1_FAKE,A01,FAKE,1,Porites compressa,PCOM,TANK12
A02_1_FAKE,A02,FAKE,1,Porites compressa,PCOM,TANK12
A03_1_FAKE,A03,FAKE,1,Porites compressa,PCOM,TANK12
A04_1_FAKE,A04,FAKE,1,Porites compressa,PCOM,TANK12
A05_1_FAKE,A05,FAKE,1,Porites compressa,PCOM,TANK7
A06_1_FAKE,A06,FAKE,1,Porites compressa,PCOM,TANK7
A07_1_FAKE,A07,FAKE,1,Porites compressa,PCOM,TANK7
A08_1_FAKE,A08,FAKE,1,Porites compressa,PCOM,TANK7
A09_1_FAKE,A09,FAKE,1,Porites compressa,PCOM,TANK15
A10_1_FAKE,A10,FAKE,1,Porites compressa,PCOM,TANK15
A11_1_FAKE,A11,FAKE,1,Porites compressa,PCOM,TANK15
A12_1_FAKE,A12,FAKE,1,Porites compressa,PCOM,TANK15
A13_1_FAKE,A13,FAKE,1,Porites compressa,PCOM,TANK14
A14_1_FAKE,A14,FAKE,1,Porites compressa,PCOM,TANK14
A15_1_FAKE,A15,FAKE,1,Porites compressa,PCOM,TANK14
A16_1_FAKE,A16,FAKE,1,Porites compressa,PCOM,TANK14
XB01_1_FAKE,XB01,FAKE,1,FAKE_Montipora capitata,FAKE,TANK12
XB02_1_FAKE,XB02,FAKE,1,FAKE_Montipora capitata,FAKE,TANK12
XB03_1_FAKE,XB03,FAKE,1,FAKE_Montipora capitata,FAKE,TANK12
XB04_1_FAKE,XB04,FAKE,1,FAKE_Montipora capitata,FAKE,TANK12
XB05_1_FAKE,XB05,FAKE,1,FAKE_Montipora capitata,FAKE,TANK7
XB06_1_FAKE,XB06,FAKE,1,FAKE_Montipora capitata,FAKE,TANK7
XB07_1_FAKE,XB07,FAKE,1,FAKE_Montipora capitata,FAKE,TANK7
XB08_1_FAKE,XB08,FAKE,1,FAKE_Montipora capitata,FAKE,TANK7
XB09_1_FAKE,XB09,FAKE,1,FAKE_Montipora capitata,FAKE,TANK15
XB10_1_FAKE,XB10,FAKE,1,FAKE_Montipora capitata,FAKE,TANK15
XB11_1_FAKE,XB11,FAKE,1,FAKE_Montipora capitata,FAKE,TANK15
XB12_1_FAKE,XB12,FAKE,1,FAKE_Montipora capitata,FAKE,TANK15
XB13_1_FAKE,XB13,FAKE,1,FAKE_Montipora capitata,FAKE,TANK14
XB14_1_FAKE,XB14,FAKE,1,FAKE_Montipora capitata,FAKE,TANK14
XB15_1_FAKE,XB15,FAKE,1,FAKE_Montipora capitata,FAKE,TANK14
XB16_1_FAKE,XB16,FAKE,1,FAKE_Montipora capitata,FAKE,TANK14
XC01_2_FAKE,XC01,FAKE,2,FAKE_Pocillopora meandrina,FAKE,TANK12
XC02_2_FAKE,XC02,FAKE,2,FAKE_Pocillopora meandrina,FAKE,TANK12
XC03_2_FAKE,XC03,FAKE,2,FAKE_Pocillopora meandrina,FAKE,TANK12
XC04_2_FAKE,XC04,FAKE,2,FAKE_Pocillopora meandrina,FAKE,TANK12
XC05_2_FAKE,XC05,FAKE,2,FAKE_Pocillopora meandrina,FAKE,TANK7
XC06_2_FAKE,XC06,FAKE,2,FAKE_Pocillopora meandrina,FAKE,TANK7
XC07_2_FAKE,XC07,FAKE,2,FAKE_Pocillopora meandrina,FAKE,TANK7
XC08_2_FAKE,XC08,FAKE,2,FAKE_Pocillopora meandrina,FAKE,TANK7
XC09_2_FAKE,XC09,FAKE,2,FAKE_Pocillopora meandrina,FAKE,TANK15
XC10_2_FAKE,XC10,FAKE,2,FAKE_Pocillopora meandrina,FAKE,TANK15
XC11_2_FAKE,XC11,FAKE,2,FAKE_Pocillopora meandrina,FAKE,TANK15
XC12_2_FAKE,XC12,FAKE,2,FAKE_Pocillopora meandrina,FAKE,TANK15
XC13_2_FAKE,XC13,FAKE,2,FAKE_Pocillopora meandrina,FAKE,TANK14
XC14_2_FAKE,XC14,FAKE,2,FAKE_Pocillopora meandrina,FAKE,TANK14
XC15_2_FAKE,XC15,FAKE,2,FAKE_Pocillopora meandrina,FAKE,TANK14
XC16_2_FAKE,XC16,FAKE,2,FAKE_Pocillopora meandrina,FAKE,TANK14
XD01_3_FAKE,XD01,FAKE,3,FAKE_Pavona varians,FAKE,TANK12
XD02_3_FAKE,XD02,FAKE,3,FAKE_Pavona varians,FAKE,TANK12
XD03_3_FAKE,XD03,FAKE,3,FAKE_Pavona varians,FAKE,TANK12
XD04_3_FAKE,XD04,FAKE,3,FAKE_Pavona varians,FAKE,TANK12
XD05_3_FAKE,XD05,FAKE,3,FAKE_Pavona varians,FAKE,TANK7
XD06_3_FAKE,XD06,FAKE,3,FAKE_Pavona varians,FAKE,TANK7
XD07_3_FAKE,XD07,FAKE,3,FAKE_Pavona varians,FAKE,TANK7
XD08_3_FAKE,XD08,FAKE,3,FAKE_Pavona varians,FAKE,TANK7
XD09_3_FAKE,XD09,FAKE,3,FAKE_Pavona varians,FAKE,TANK15
XD10_3_FAKE,XD10,FAKE,3,FAKE_Pavona varians,FAKE,TANK15
XD11_3_FAKE,XD11,FAKE,3,FAKE_Pavona varians,FAKE,TANK15
XD12_3_FAKE,XD12,FAKE,3,FAKE_Pavona varians,FAKE,TANK15
XD13_3_FAKE,XD13,FAKE,3,FAKE_Pavona varians,FAKE,TANK14
XD14_3_FAKE,XD14,FAKE,3,FAKE_Pavona varians,FAKE,TANK14
XD15_3_FAKE,XD15,FAKE,3,FAKE_Pavona varians,FAKE,TANK14
XD16_3_FAKE,XD16,FAKE,3,FAKE_Pavona varians,FAKE,TANK14
XE01_4_FAKE,XE01,FAKE,4,FAKE_Leptastrea purpurea,FAKE,TANK12
XE02_4_FAKE,XE02,FAKE,4,FAKE_Leptastrea purpurea,FAKE,TANK12
XE03_4_FAKE,XE03,FAKE,4,FAKE_Leptastrea purpurea,FAKE,TANK12
XE04_4_FAKE,XE04,FAKE,4,FAKE_Leptastrea purpurea,FAKE,TANK12
XE05_4_FAKE,XE05,FAKE,4,FAKE_Leptastrea purpurea,FAKE,TANK7
XE06_4_FAKE,XE06,FAKE,4,FAKE_Leptastrea purpurea,FAKE,TANK7
XE07_4_FAKE,XE07,FAKE,4,FAKE_Leptastrea purpurea,FAKE,TANK7
XE08_4_FAKE,XE08,FAKE,4,FAKE_Leptastrea purpurea,FAKE,TANK7
XE09_4_FAKE,XE09,FAKE,4,FAKE_Leptastrea purpurea,FAKE,TANK15
XE10_4_FAKE,XE10,FAKE,4,FAKE_Leptastrea purpurea,FAKE,TANK15
XE11_4_FAKE,XE11,FAKE,4,FAKE_Leptastrea purpurea,FAKE,TANK15
XE12_4_FAKE,XE12,FAKE,4,FAKE_Leptastrea purpurea,FAKE,TANK15
XE13_4_FAKE,XE13,FAKE,4,FAKE_Leptastrea purpurea,FAKE,TANK14
XE14_4_FAKE,XE14,FAKE,4,FAKE_Leptastrea purpurea,FAKE,TANK14
XE15_4_FAKE,XE15,FAKE,4,FAKE_Leptastrea purpurea,FAKE,TANK14
XE16_4_FAKE,XE16,FAKE,4,FAKE_Leptastrea purpurea,FAKE,TANK14
XF01_5_FAKE,XF01,FAKE,5,FAKE_Porites evermanni,FAKE,TANK12
XF02_5_FAKE,XF02,FAKE,5,FAKE_Porites evermanni,FAKE,TANK12
XF03_5_FAKE,XF03,FAKE,5,FAKE_Porites evermanni,FAKE,TANK12
XF04_5_FAKE,XF04,FAKE,5,FAKE_Porites evermanni,FAKE,TANK12
XF05_5_FAKE,XF05,FAKE,5,FAKE_Porites evermanni,FAKE,TANK7
XF06_5_FAKE,XF06,FAKE,5,FAKE_Porites evermanni,FAKE,TANK7
XF07_5_FAKE,XF07,FAKE,5,FAKE_Porites evermanni,FAKE,TANK7
XF08_5_FAKE,XF08,FAKE,5,FAKE_Porites evermanni,FAKE,TANK7
XF09_5_FAKE,XF09,FAKE,5,FAKE_Porites evermanni,FAKE,TANK15
XF10_5_FAKE,XF10,FAKE,5,FAKE_Porites evermanni,FAKE,TANK15
XF11_5_FAKE,XF11,FAKE,5,FAKE_Porites evermanni,FAKE,TANK15
XF12_5_FAKE,XF12,FAKE,5,FAKE_Porites evermanni,FAKE,TANK15
XF13_5_FAKE,XF13,FAKE,5,FAKE_Porites evermanni,FAKE,TANK14
XF14_5_FAKE,XF14,FAKE,5,FAKE_Porites evermanni,FAKE,TANK14
XF15_5_FAKE,XF15,FAKE,5,FAKE_Porites evermanni,FAKE,TANK14
XF16_5_FAKE,XF16,FAKE,5,FAKE_Porites evermanni,FAKE,TANK14
B01_1_FAKE,B01,FAKE,1,Montipora capitata,MCAP,TANK17
B02_1_FAKE,B02,FAKE,1,Montipora capitata,MCAP,TANK17
B03_1_FAKE,B03,FAKE,1,Montipora capitata,MCAP,TANK17
B04_1_FAKE,B04,FAKE,1,Montipora capitata,MCAP,TANK17
B05_1_FAKE,B05,FAKE,1,Montipora capitata,MCAP,TANK8
B06_1_FAKE,B06,FAKE,1,Montipora capitata,MCAP,TANK8
B07_1_FAKE,B07,FAKE,1,Montipora capitata,MCAP,TANK8
B08_1_FAKE,B08,FAKE,1,Montipora capitata,MCAP,TANK8
B09_1_FAKE,B09,FAKE,1,Montipora capitata,MCAP,TANK23
B10_1_FAKE,B10,FAKE,1,Montipora capitata,MCAP,TANK23
B11_1_FAKE,B11,FAKE,1,Montipora capitata,MCAP,TANK23
B12_1_FAKE,B12,FAKE,1,Montipora capitata,MCAP,TANK23
B13_1_FAKE,B13,FAKE,1,Montipora capitata,MCAP,TANK4
B14_1_FAKE,B14,FAKE,1,Montipora capitata,MCAP,TANK4
B15_1_FAKE,B15,FAKE,1,Montipora capitata,MCAP,TANK4
B16_1_FAKE,B16,FAKE,1,Montipora capitata,MCAP,TANK4
XA01_1_FAKE,XA01,FAKE,1,FAKE_Porites compressa,FAKE,TANK17
XA02_1_FAKE,XA02,FAKE,1,FAKE_Porites compressa,FAKE,TANK17
XA03_1_FAKE,XA03,FAKE,1,FAKE_Porites compressa,FAKE,TANK17
XA04_1_FAKE,XA04,FAKE,1,FAKE_Porites compressa,FAKE,TANK17
XA05_1_FAKE,XA05,FAKE,1,FAKE_Porites compressa,FAKE,TANK8
XA06_1_FAKE,XA06,FAKE,1,FAKE_Porites compressa,FAKE,TANK8
XA07_1_FAKE,XA07,FAKE,1,FAKE_Porites compressa,FAKE,TANK8
XA08_1_FAKE,XA08,FAKE,1,FAKE_Porites compressa,FAKE,TANK8
XA09_1_FAKE,XA09,FAKE,1,FAKE_Porites compressa,FAKE,TANK23
XA10_1_FAKE,XA10,FAKE,1,FAKE_Porites compressa,FAKE,TANK23
XA11_1_FAKE,XA11,FAKE,1,FAKE_Porites compressa,FAKE,TANK23
XA12_1_FAKE,XA12,FAKE,1,FAKE_Porites compressa,FAKE,TANK23
XA13_1_FAKE,XA13,FAKE,1,FAKE_Porites compressa,FAKE,TANK4
XA14_1_FAKE,XA14,FAKE,1,FAKE_Porites compressa,FAKE,TANK4
XA15_1_FAKE,XA15,FAKE,1,FAKE_Porites compressa,FAKE,TANK4
XA16_1_FAKE,XA16,FAKE,1,FAKE_Porites compressa,FAKE,TANK4
XC01_2_FAKE,XC01,FAKE,2,FAKE_Pocillopora meandrina,FAKE,TANK17
XC02_2_FAKE,XC02,FAKE,2,FAKE_Pocillopora meandrina,FAKE,TANK17
XC03_2_FAKE,XC03,FAKE,2,FAKE_Pocillopora meandrina,FAKE,TANK17
XC04_2_FAKE,XC04,FAKE,2,FAKE_Pocillopora meandrina,FAKE,TANK17
XC05_2_FAKE,XC05,FAKE,2,FAKE_Pocillopora meandrina,FAKE,TANK8
XC06_2_FAKE,XC06,FAKE,2,FAKE_Pocillopora meandrina,FAKE,TANK8
XC07_2_FAKE,XC07,FAKE,2,FAKE_Pocillopora meandrina,FAKE,TANK8
XC08_2_FAKE,XC08,FAKE,2,FAKE_Pocillopora meandrina,FAKE,TANK8
XC09_2_FAKE,XC09,FAKE,2,FAKE_Pocillopora meandrina,FAKE,TANK23
XC10_2_FAKE,XC10,FAKE,2,FAKE_Pocillopora meandrina,FAKE,TANK23
XC11_2_FAKE,XC11,FAKE,2,FAKE_Pocillopora meandrina,FAKE,TANK23
XC12_2_FAKE,XC12,FAKE,2,FAKE_Pocillopora meandrina,FAKE,TANK23
XC13_2_FAKE,XC13,FAKE,2,FAKE_Pocillopora meandrina,FAKE,TANK4
XC14_2_FAKE,XC14,FAKE,2,FAKE_Pocillopora meandrina,FAKE,TANK4
XC15_2_FAKE,XC15,FAKE,2,FAKE_Pocillopora meandrina,FAKE,TANK4
XC16_2_FAKE,XC16,FAKE,2,FAKE_Pocillopora meandrina,FAKE,TANK4
XD01_3_FAKE,XD01,FAKE,3,FAKE_Pavona varians,FAKE,TANK17
XD02_3_FAKE,XD02,FAKE,3,FAKE_Pavona varians,FAKE,TANK17
XD03_3_FAKE,XD03,FAKE,3,FAKE_Pavona varians,FAKE,TANK17
XD04_3_FAKE,XD04,FAKE,3,FAKE_Pavona varians,FAKE,TANK17
XD05_3_FAKE,XD05,FAKE,3,FAKE_Pavona varians,FAKE,TANK8
XD06_3_FAKE,XD06,FAKE,3,FAKE_Pavona varians,FAKE,TANK8
XD07_3_FAKE,XD07,FAKE,3,FAKE_Pavona varians,FAKE,TANK8
XD08_3_FAKE,XD08,FAKE,3,FAKE_Pavona varians,FAKE,TANK8
XD09_3_FAKE,XD09,FAKE,3,FAKE_Pavona varians,FAKE,TANK23
XD10_3_FAKE,XD10,FAKE,3,FAKE_Pavona varians,FAKE,TANK23
XD11_3_FAKE,XD11,FAKE,3,FAKE_Pavona varians,FAKE,TANK23
XD12_3_FAKE,XD12,FAKE,3,FAKE_Pavona varians,FAKE,TANK23
XD13_3_FAKE,XD13,FAKE,3,FAKE_Pavona varians,FAKE,TANK4
XD14_3_FAKE,XD14,FAKE,3,FAKE_Pavona varians,FAKE,TANK4
XD15_3_FAKE,XD15,FAKE,3,FAKE_Pavona varians,FAKE,TANK4
XD16_3_FAKE,XD16,FAKE,3,FAKE_Pavona varians,FAKE,TANK4
XE01_4_FAKE,XE01,FAKE,4,FAKE_Leptastrea purpurea,FAKE,TANK17
XE02_4_FAKE,XE02,FAKE,4,FAKE_Leptastrea purpurea,FAKE,TANK17
XE03_4_FAKE,XE03,FAKE,4,FAKE_Leptastrea purpurea,FAKE,TANK17
XE04_4_FAKE,XE04,FAKE,4,FAKE_Leptastrea purpurea,FAKE,TANK17
XE05_4_FAKE,XE05,FAKE,4,FAKE_Leptastrea purpurea,FAKE,TANK8
XE06_4_FAKE,XE06,FAKE,4,FAKE_Leptastrea purpurea,FAKE,TANK8
XE07_4_FAKE,XE07,FAKE,4,FAKE_Leptastrea purpurea,FAKE,TANK8
XE08_4_FAKE,XE08,FAKE,4,FAKE_Leptastrea purpurea,FAKE,TANK8
XE09_4_FAKE,XE09,FAKE,4,FAKE_Leptastrea purpurea,FAKE,TANK23
XE10_4_FAKE,XE10,FAKE,4,FAKE_Leptastrea purpurea,FAKE,TANK23
XE11_4_FAKE,XE11,FAKE,4,FAKE_Leptastrea purpurea,FAKE,TANK23
XE12_4_FAKE,XE12,FAKE,4,FAKE_Leptastrea purpurea,FAKE,TANK23
XE13_4_FAKE,XE13,FAKE,4,FAKE_Leptastrea purpurea,FAKE,TANK4
XE14_4_FAKE,XE14,FAKE,4,FAKE_Leptastrea purpurea,FAKE,TANK4
XE15_4_FAKE,XE15,FAKE,4,FAKE_Leptastrea purpurea,FAKE,TANK4
XE16_4_FAKE,XE16,FAKE,4,FAKE_Leptastrea purpurea,FAKE,TANK4
XF01_5_FAKE,XF01,FAKE,5,FAKE_Porites evermanni,FAKE,TANK17
XF02_5_FAKE,XF02,FAKE,5,FAKE_Porites evermanni,FAKE,TANK17
XF03_5_FAKE,XF03,FAKE,5,FAKE_Porites evermanni,FAKE,TANK17
XF04_5_FAKE,XF04,FAKE,5,FAKE_Porites evermanni,FAKE,TANK17
XF05_5_FAKE,XF05,FAKE,5,FAKE_Porites evermanni,FAKE,TANK8
XF06_5_FAKE,XF06,FAKE,5,FAKE_Porites evermanni,FAKE,TANK8
XF07_5_FAKE,XF07,FAKE,5,FAKE_Porites evermanni,FAKE,TANK8
XF08_5_FAKE,XF08,FAKE,5,FAKE_Porites evermanni,FAKE,TANK8
XF09_5_FAKE,XF09,FAKE,5,FAKE_Porites evermanni,FAKE,TANK23
XF10_5_FAKE,XF10,FAKE,5,FAKE_Porites evermanni,FAKE,TANK23
XF11_5_FAKE,XF11,FAKE,5,FAKE_Porites evermanni,FAKE,TANK23
XF12_5_FAKE,XF12,FAKE,5,FAKE_Porites evermanni,FAKE,TANK23
XF13_5_FAKE,XF13,FAKE,5,FAKE_Porites evermanni,FAKE,TANK4
XF14_5_FAKE,XF14,FAKE,5,FAKE_Porites evermanni,FAKE,TANK4
XF15_5_FAKE,XF15,FAKE,5,FAKE_Porites evermanni,FAKE,TANK4
XF16_5_FAKE,XF16,FAKE,5,FAKE_Porites evermanni,FAKE,TANK4
