sample_ID,genotype,treatment,rep_number_tank,coral_species,sp,tank
F07_1_6SP,F07,6SP,1,Porites evermanni,PEVE,TANK16
F08_1_6SP,F08,6SP,1,Porites evermanni,PEVE,TANK16
F09_1_6SP,F09,6SP,1,Porites evermanni,PEVE,TANK24
F10_1_6SP,F10,6SP,1,Porites evermanni,PEVE,TANK24
F11_1_6SP,F11,6SP,1,Porites evermanni,PEVE,TANK24
F12_1_6SP,F12,6SP,1,Porites evermanni,PEVE,TANK24
F13_1_6SP,F13,6SP,1,Porites evermanni,PEVE,TANK13
F14_1_6SP,F14,6SP,1,Porites evermanni,PEVE,TANK13
F15_1_6SP,F15,6SP,1,Porites evermanni,PEVE,TANK13
F16_1_6SP,F16,6SP,1,Porites evermanni,PEVE,TANK13
A01_1_3SP,A01,3SP,1,Porites compressa,PCOM,TANK9
A02_1_3SP,A02,3SP,1,Porites compressa,PCOM,TANK9
A03_1_3SP,A03,3SP,1,Porites compressa,PCOM,TANK9
A04_1_3SP,A04,3SP,1,Porites compressa,PCOM,TANK9
A05_1_3SP,A05,3SP,1,Porites compressa,PCOM,TANK22
A06_1_3SP,A06,3SP,1,Porites compressa,PCOM,TANK22
A07_1_3SP,A07,3SP,1,Porites compressa,PCOM,TANK22
A08_1_3SP,A08,3SP,1,Porites compressa,PCOM,TANK22
A09_1_3SP,A09,3SP,1,Porites compressa,PCOM,TANK5
A10_1_3SP,A10,3SP,1,Porites compressa,PCOM,TANK5
A11_1_3SP,A11,3SP,1,Porites compressa,PCOM,TANK5
A12_1_3SP,A12,3SP,1,Porites compressa,PCOM,TANK5
A13_1_3SP,A13,3SP,1,Porites compressa,PCOM,TANK19
A14_1_3SP,A14,3SP,1,Porites compressa,PCOM,TANK19
A15_1_3SP,A15,3SP,1,Porites compressa,PCOM,TANK19
A16_1_3SP,A16,3SP,1,Porites compressa,PCOM,TANK19
B01_1_3SP,B01,3SP,1,Montipora capitata,MCAP,TANK9
B02_1_3SP,B02,3SP,1,Montipora capitata,MCAP,TANK9
B03_1_3SP,B03,3SP,1,Montipora capitata,MCAP,TANK9
B04_1_3SP,B04,3SP,1,Montipora capitata,MCAP,TANK9
B05_1_3SP,B05,3SP,1,Montipora capitata,MCAP,TANK22
B06_1_3SP,B06,3SP,1,Montipora capitata,MCAP,TANK22
B07_1_3SP,B07,3SP,1,Montipora capitata,MCAP,TANK22
B08_1_3SP,B08,3SP,1,Montipora capitata,MCAP,TANK22
B09_1_3SP,B09,3SP,1,Montipora capitata,MCAP,TANK5
B10_1_3SP,B10,3SP,1,Montipora capitata,MCAP,TANK5
B11_1_3SP,B11,3SP,1,Montipora capitata,MCAP,TANK5
B12_1_3SP,B12,3SP,1,Montipora capitata,MCAP,TANK5
B13_1_3SP,B13,3SP,1,Montipora capitata,MCAP,TANK19
B14_1_3SP,B14,3SP,1,Montipora capitata,MCAP,TANK19
B15_1_3SP,B15,3SP,1,Montipora capitata,MCAP,TANK19
B16_1_3SP,B16,3SP,1,Montipora capitata,MCAP,TANK19
C01_1_3SP,C01,3SP,1,Pocillopora meandrina,PMEA,TANK9
C02_1_3SP,C02,3SP,1,Pocillopora meandrina,PMEA,TANK9
C03_1_3SP,C03,3SP,1,Pocillopora meandrina,PMEA,TANK9
C04_1_3SP,C04,3SP,1,Pocillopora meandrina,PMEA,TANK9
C05_1_3SP,C05,3SP,1,Pocillopora meandrina,PMEA,TANK22
C06_1_3SP,C06,3SP,1,Pocillopora meandrina,PMEA,TANK22
C07_1_3SP,C07,3SP,1,Pocillopora meandrina,PMEA,TANK22
C08_1_3SP,C08,3SP,1,Pocillopora meandrina,PMEA,TANK22
C09_1_3SP,C09,3SP,1,Pocillopora meandrina,PMEA,TANK5
C10_1_3SP,C10,3SP,1,Pocillopora meandrina,PMEA,TANK5
C11_1_3SP,C11,3SP,1,Pocillopora meandrina,PMEA,TANK5
C12_1_3SP,C12,3SP,1,Pocillopora meandrina,PMEA,TANK5
C13_1_3SP,C13,3SP,1,Pocillopora meandrina,PMEA,TANK19
C14_1_3SP,C14,3SP,1,Pocillopora meandrina,PMEA,TANK19
C15_1_3SP,C15,3SP,1,Pocillopora meandrina,PMEA,TANK19
C16_1_3SP,C16,3SP,1,Pocillopora meandrina,PMEA,TANK19
A01_2_3SP,A01,3SP,2,Porites compressa,PCOM,TANK9
A02_2_3SP,A02,3SP,2,Porites compressa,PCOM,TANK9
A03_2_3SP,A03,3SP,2,Porites compressa,PCOM,TANK9
A04_2_3SP,A04,3SP,2,Porites compressa,PCOM,TANK9
A05_2_3SP,A05,3SP,2,Porites compressa,PCOM,TANK22
A06_2_3SP,A06,3SP,2,Porites compressa,PCOM,TANK22
A07_2_3SP,A07,3SP,2,Porites compressa,PCOM,TANK22
