"X","X500","X495","X490","X485","X480","X475","X470","X465","X460","X455","X450","X445","X440","X435","X430","X425","X420","X415","X410","X405","X400","X395","X390","X385","X380","X375","X370","X365","X360","X355","X350","X345","X340","X335","X330","X325","X320","X315","X310","X305","X300","X295","X290","X285","X280","X275","X270","X265","X260","X255","X250","X245","X240","UniqueID"
306.837,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00242532967507847,0.00732860947986981,0.00651145857344407,0.0166079966602646,0.0161313055720439,0.00879556065482346,0.00687621793237533,0.00729793717702755,0,0,0,"BIOFAC_1"
311.362,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00425019955472293,0.00584418545075055,0.00696876717687589,0.0183658999436257,0.0201695679397041,0.018278793167168,0.0134279226926735,0.0143787434925085,0.0160403931867933,0.0232891465421365,0.0278522514497225,0.0458984938777576,"BIOFAC_1"
315.89,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00165422606509235,0.00390421548856214,0.00548984996548306,0.0144237116054847,0.0215792959857191,0.014572377663082,0.0157646076675591,0.013537948400638,0.00698812207896842,0.0160540048114951,0.0131325476501661,0.0206731239370681,0.0170606665333579,"BIOFAC_1"
320.422,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00274228663428388,0.00326163081030659,0.0029577127691174,0.00782680834446947,0.0190137826071284,0.0183610410952935,0.0137181189899882,0.0167828315517442,0.0153510013065119,0.0136486210405448,0.0126759262100223,0.0174011176435628,0.0121718559877677,0.0365333738573829,"BIOFAC_1"
324.958,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00211603119821225,0.00188622846615609,0.00228132428793306,0.00324323749453269,0.0144896347203988,0.0162778494020852,0.0161574744496163,0.0143026882108831,0.0143991983910134,0.0178819227042028,0.0126024175300573,0.0134727184652123,0.0112913711930708,0.0105662989848329,0,"BIOFAC_1"
329.496,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00281986642070476,0.0036115635425298,0.00379056268824276,0.00368359559909939,0.0107396218757554,0.0177505177424039,0.0167783457832776,0.0194251942014322,0.0201363340934663,0.0213208123018376,0.022045291562066,0.0206750687878269,0.0190400792338514,0.0218894654070631,0.0396896904230501,0.0355079922178567,"BIOFAC_1"
334.038,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00383171683906516,0.00339995533097079,0.00401516507589766,0.0078995160261133,0.0155638076500043,0.014162413844516,0.0195843294369402,0.0208772553595343,0.0223594398217768,0.0231532645738343,0.0202896505353206,0.0207339653498372,0.024893638069283,0.0168676968068334,0.0345557924250826,0,"BIOFAC_1"
338.584,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0025322153248727,0.00484857405244354,0.00385198784984031,0.00603177373447528,0.0133702055394147,0.0126800754135902,0.0167829783049478,0.018666490453802,0.0199936535247492,0.0227198529617793,0.0215790047500666,0.0178076916863934,0.0213738153648504,0.0210246799814974,0.0180121997872881,0.0192082654040412,0,"BIOFAC_1"
343.133,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00318406056231284,0.00416642126533402,0.00515211494194314,0.00385610740813758,0.0159494879328052,0.0134670135813272,0.0123664051992095,0.0178082810826621,0.0207583227083479,0.023660898427194,0.0250694626315787,0.0236793817214053,0.0226786189342742,0.0245886271172114,0.0231952355371096,0.0261686438841396,0.0174999375562035,0.0109469708472972,"BIOFAC_1"
347.685,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00294563317830736,0.00385138221659981,0.00531186698426656,0.00542339982989784,0.00902421784863461,0.0122847654815875,0.0103749639411724,0.0127248421280874,0.0179679671784306,0.0199798360489408,0.0214625300808316,0.0214592547507765,0.0208312644973899,0.0224824108824762,0.0185039857295815,0.0117755334810381,0.0198013898655072,0.00629468212153697,0,"BIOFAC_1"
