chunk,model,closed,surface_area_mm2,volume_mm3
54,Copy of A06_1_6SP,True,5425.929115606469,13885.226536641489
54,Copy of A02_1_FAKE,True,2635.1380263629844,6388.311467867386
54,Copy of A13_1_MONO,True,2716.538604820555,8676.743302231785
55,A15_1_6SP,False,2795.629190629333,NA
55,A08_1_3SP,False,3542.6630884036454,NA
55,A01_1_3SP,True,5581.361136758193,19445.799810293232
55,A11_1_MONO,False,2991.83245667341,NA
55,A02_1_6SP,False,5023.655156198003,NA
55,Copy of A08_1_3SP,True,3882.6406425438163,11169.529571564377
55,Copy of A11_1_MONO,True,3148.417379321794,7890.439739363794
55,Copy of A02_1_6SP,True,5351.069308626765,14680.841402438
55,Copy of A15_1_6SP,True,3142.987523132962,8998.185105391616
55,Copy of A01_1_3SP,True,5581.361136758193,19445.799810293232
56,A14_1_MONO,True,3101.1062415076785,8630.289604450609
56,A03_1_FAKE,False,3370.116729519115,NA
56,A05_1_FAKE,False,4338.761488827066,NA
56,A08_1_6SP,False,2834.98058151159,NA
56,Copy of A14_1_MONO,False,2760.6518289788733,NA
56,Copy of A03_1_FAKE,True,3803.8518110836335,10883.05784458299
56,Copy of A05_1_FAKE,True,4599.0028060322,13273.920568189229
56,Copy of A08_1_6SP,True,3142.973514428431,9624.215133630752
57,A16_1_3SP,False,5377.368901928382,NA
57,A01_1_MONO,False,3433.9647469138276,NA
57,A08_1_FAKE,False,1755.4800073628683,NA
57,A07_1_3SP,False,2373.188781331098,NA
57,A02_1_3SP,False,2470.2696368824036,NA
57,Copy of A16_1_3SP,True,5772.051260524179,17814.2739323142
57,Copy of A01_1_MONO,True,3708.2997273313244,10493.750571005403
57,Copy of A02_1_3SP,True,2677.661218531575,6749.243534923478
57,Copy of A08_1_FAKE,True,1995.4476029170964,5132.657136165402
57,Copy of A02_1_3SP,True,2677.661218531575,6749.243534923478
58,A01_1_6SP,False,3285.978272070384,NA
