ID - RESPO,tank,Date time,ID - OTHER,tank,Date time
B09_1_3SP,TANK5,,A13_5_MONO,TANK18,
B10_1_3SP,TANK5,,A14_5_MONO,TANK18,
B11_1_3SP,TANK5,,A15_5_MONO,TANK18,
B12_1_3SP,TANK5,,A16_5_MONO,TANK18,
A09_1_MONO,TANK6,,A13_6_MONO,TANK18,
A10_1_MONO,TANK6,,A14_6_MONO,TANK18,
A11_1_MONO,TANK6,,A15_6_MONO,TANK18,
A12_1_MONO,TANK6,,A16_6_MONO,TANK18,
A05_1_FAKE,TANK7,,C13_1_3SP,TANK19,
A06_1_FAKE,TANK7,,C14_1_3SP,TANK19,
A07_1_FAKE,TANK7,,C15_1_3SP,TANK19,
A08_1_FAKE,TANK7,,C16_1_3SP,TANK19,
B05_1_FAKE,TANK8,,A13_2_3SP,TANK19,
B06_1_FAKE,TANK8,,A14_2_3SP,TANK19,
B07_1_FAKE,TANK8,,A15_2_3SP,TANK19,
B08_1_FAKE,TANK8,,A16_2_3SP,TANK19,
A01_1_3SP,TANK9,,B13_2_3SP,TANK19,
A02_1_3SP,TANK9,,B14_2_3SP,TANK19,
A03_1_3SP,TANK9,,B15_2_3SP,TANK19,
A04_1_3SP,TANK9,,B16_2_3SP,TANK19,
B01_1_3SP,TANK9,,C13_2_3SP,TANK19,
B02_1_3SP,TANK9,,C14_2_3SP,TANK19,
B03_1_3SP,TANK9,,C15_2_3SP,TANK19,
B04_1_3SP,TANK9,,C16_2_3SP,TANK19,
,,,C01_1_6SP,TANK2,
,,,C02_1_6SP,TANK2,
,,,C03_1_6SP,TANK2,
,,,C04_1_6SP,TANK2,
,,,D01_1_6SP,TANK2,
,,,D02_1_6SP,TANK2,
,,,D03_1_6SP,TANK2,
,,,D04_1_6SP,TANK2,
,,,E01_1_6SP,TANK2,
,,,E02_1_6SP,TANK2,
,,,E03_1_6SP,TANK2,
,,,E04_1_6SP,TANK2,
,,,F01_1_6SP,TANK2,
,,,F02_1_6SP,TANK2,
,,,F03_1_6SP,TANK2,
,,,F04_1_6SP,TANK2,
,,,A01_2_MONO,TANK20,
,,,A02_2_MONO,TANK20,
,,,A03_2_MONO,TANK20,
,,,A04_2_MONO,TANK20,
,,,A01_3_MONO,TANK20,
,,,A02_3_MONO,TANK20,
,,,A03_3_MONO,TANK20,
,,,A04_3_MONO,TANK20,
,,,A01_4_MONO,TANK20,
,,,A02_4_MONO,TANK20,
,,,A03_4_MONO,TANK20,
,,,A04_4_MONO,TANK20,
,,,A01_5_MONO,TANK20,
,,,A02_5_MONO,TANK20,
,,,A03_5_MONO,TANK20,
,,,A04_5_MONO,TANK20,
,,,A01_6_MONO,TANK20,
,,,A02_6_MONO,TANK20,
,,,A03_6_MONO,TANK20,
,,,A04_6_MONO,TANK20,
,,,B05_2_MONO,TANK21,
,,,B06_2_MONO,TANK21,
,,,B07_2_MONO,TANK21,
,,,B08_2_MONO,TANK21,
,,,B05_3_MONO,TANK21,
,,,B06_3_MONO,TANK21,
,,,B07_3_MONO,TANK21,
,,,B08_3_MONO,TANK21,
,,,B05_4_MONO,TANK21,
,,,B06_4_MONO,TANK21,
,,,B07_4_MONO,TANK21,
,,,B08_4_MONO,TANK21,
,,,B05_5_MONO,TANK21,
,,,B06_5_MONO,TANK21,
,,,B07_5_MONO,TANK21,
,,,B08_5_MONO,TANK21,
,,,B05_6_MONO,TANK21,
,,,B06_6_MONO,TANK21,
,,,B07_6_MONO,TANK21,
,,,B08_6_MONO,TANK21,
,,,C05_1_3SP,TANK22,
,,,C06_1_3SP,TANK22,
,,,C07_1_3SP,TANK22,
,,,C08_1_3SP,TANK22,
,,,A05_2_3SP,TANK22,
,,,A06_2_3SP,TANK22,
,,,A07_2_3SP,TANK22,
,,,A08_2_3SP,TANK22,
,,,B05_2_3SP,TANK22,
,,,B06_2_3SP,TANK22,
,,,B07_2_3SP,TANK22,
,,,B08_2_3SP,TANK22,
,,,C05_2_3SP,TANK22,
,,,C06_2_3SP,TANK22,
,,,C07_2_3SP,TANK22,
,,,C08_2_3SP,TANK22,
,,,C09_1_6SP,TANK24,
,,,C10_1_6SP,TANK24,
,,,C11_1_6SP,TANK24,
,,,C12_1_6SP,TANK24,
,,,D09_1_6SP,TANK24,
,,,D10_1_6SP,TANK24,
,,,D11_1_6SP,TANK24,
,,,D12_1_6SP,TANK24,
,,,E09_1_6SP,TANK24,
,,,E10_1_6SP,TANK24,
,,,E11_1_6SP,TANK24,
,,,E12_1_6SP,TANK24,
,,,F09_1_6SP,TANK24,
,,,F10_1_6SP,TANK24,
,,,F11_1_6SP,TANK24,
,,,F12_1_6SP,TANK24,
,,,A09_2_MONO,TANK3,
,,,A10_2_MONO,TANK3,
,,,A11_2_MONO,TANK3,
,,,A12_2_MONO,TANK3,
,,,A09_3_MONO,TANK3,
,,,A10_3_MONO,TANK3,
