500	-9.43386910435244E-4
495	-9.27219911325462E-4
490	-9.1695427838912E-4
485	-9.42765645271918E-4
480	-9.17852949234411E-4
475	-8.94419687803583E-4
470	-9.17511582055779E-4
465	-9.04348243454724E-4
460	-8.67379284457481E-4
455	-8.78473010262361E-4
450	-9.03155166761943E-4
445	-0.00100075726135706
440	-9.67649281826775E-4
435	-9.34091060429734E-4
430	-9.51759420195159E-4
425	-9.09942969983195E-4
420	-9.6271408095595E-4
415	-0.00103041679997518
410	-0.00106234951275423
405	-0.00108803301645906
400	-0.00108126653711589
395	-0.00102615297796462
390	-9.82373272312173E-4
385	-9.33766906851134E-4
380	-9.17567415007255E-4
375	-8.26142142123064E-4
370	-6.78722857390344E-4
365	-6.1487912389737E-4
360	-6.07811720988506E-4
355	-4.65078732301211E-4
350	-4.302947256733E-4
345	-2.95299282608309E-4
340	-2.21778455748407E-4
335	-1.83492427398277E-4
330	-6.04736445664911E-5
325	8.48442017035765E-6
320	1.71496259335713E-4
315	3.34989574633153E-4
310	5.67553778844862E-4
305	0.00102814546925399
300	0.00166466594307154
295	0.00232640425802319
290	0.00280390359158278
285	0.00345873330202218
280	0.00402639118375502
275	0.00465669448809116
270	0.0054142843517839
265	0.00625235186578512
260	0.00707969311369343
255	0.00779316901727177
250	0.00838004317681367
245	0.00934482178983765
240	0.0116659271267976
