"PreSens Measurement Studio 2","4.1.0.2453",""
"Date","Time","Channel","User","SensorID","Sensor_Name","delta_t","Time_Unit","Value","O2_Unit","Mode","Phase","Phase_Unit","Amplitude","Amplitude_Unit","Temp","Temp_Unit","Pressure","Pressure_Unit","Salinity","Salinity_Unit","Error","Cal0","Cal0_Unit","T0","T0_Unit","O2Cal2nd","O2_Unit","Cal2nd","Cal2nd_Unit","T2nd","T2nd_Unit","CalPressure","CalPressure_Unit","f1","dPhi1","dkSv1","dPhi2","dkSv2","m","Cal_Mode","SignalLEDCurrent","User_Signal_Intensity","ReferenceLEDCurrent","Reference_Amplitude","Device_Serial","FwVersion","SwVersion","Sensor_Type","BatchID","Calibration_Date","Sensor_Lot","PreSens_Calibr","Battery_Voltage","Battery_Voltage_Unit","Cal0_Amplitude","Cal0_Amplitude_Unit","Cal2nd_Amplitude","Cal2nd_Amplitude_Unit"
"04/06/2026","16:49:02","4","default","138668578","NJS_OXY12","0.333","min","41.801","%a.s.","Humid","32.468","deg","101497","µV","23.620","°C","1017.000","hPa","35.6","pmil","0","55.580","deg","20.000","°C","100.000","%a.s.","22.730","deg","20.000","°C","969.000","hPa","0.82","-0.015","0.00036","-0.00014","0","10","Humid","62.42","1","2500.00","292978.32","SADF0001000100","ABF0.1.0.10","4.1.0.2453","PSt7-10","250224-046","4/6/2026 10:23:39 AM","0000-00","0","no battery","V","","µV","","µV"
"04/06/2026","16:49:04","4","default","138668578","NJS_OXY12","0.366","min","41.783","%a.s.","Humid","32.475","deg","101514","µV","23.608","°C","1017.000","hPa","35.6","pmil","0","55.580","deg","20.000","°C","100.000","%a.s.","22.730","deg","20.000","°C","969.000","hPa","0.82","-0.015","0.00036","-0.00014","0","10","Humid","62.42","1","2500.00","292973.31","SADF0001000100","ABF0.1.0.10","4.1.0.2453","PSt7-10","250224-046","4/6/2026 10:23:39 AM","0000-00","0","no battery","V","","µV","","µV"
"04/06/2026","16:49:06","4","default","138668578","NJS_OXY12","0.400","min","41.783","%a.s.","Humid","32.475","deg","101531","µV","23.608","°C","1017.000","hPa","35.6","pmil","0","55.580","deg","20.000","°C","100.000","%a.s.","22.730","deg","20.000","°C","969.000","hPa","0.82","-0.015","0.00036","-0.00014","0","10","Humid","62.42","1","2500.00","292965.36","SADF0001000100","ABF0.1.0.10","4.1.0.2453","PSt7-10","250224-046","4/6/2026 10:23:39 AM","0000-00","0","no battery","V","","µV","","µV"
"04/06/2026","16:49:08","4","default","138668578","NJS_OXY12","0.433","min","41.792","%a.s.","Humid","32.473","deg","101533","µV","23.602","°C","1017.000","hPa","35.6","pmil","0","55.580","deg","20.000","°C","100.000","%a.s.","22.730","deg","20.000","°C","969.000","hPa","0.82","-0.015","0.00036","-0.00014","0","10","Humid","62.42","1","2500.00","292969.74","SADF0001000100","ABF0.1.0.10","4.1.0.2453","PSt7-10","250224-046","4/6/2026 10:23:39 AM","0000-00","0","no battery","V","","µV","","µV"
"04/06/2026","16:49:10","4","default","138668578","NJS_OXY12","0.467","min","41.781","%a.s.","Humid","32.473","deg","101521","µV","23.626","°C","1017.000","hPa","35.6","pmil","0","55.580","deg","20.000","°C","100.000","%a.s.","22.730","deg","20.000","°C","969.000","hPa","0.82","-0.015","0.00036","-0.00014","0","10","Humid","62.42","1","2500.00","292966.09","SADF0001000100","ABF0.1.0.10","4.1.0.2453","PSt7-10","250224-046","4/6/2026 10:23:39 AM","0000-00","0","no battery","V","","µV","","µV"
"04/06/2026","16:49:12","4","default","138668578","NJS_OXY12","0.499","min","41.777","%a.s.","Humid","32.475","deg","101524","µV","23.620","°C","1017.000","hPa","35.6","pmil","0","55.580","deg","20.000","°C","100.000","%a.s.","22.730","deg","20.000","°C","969.000","hPa","0.82","-0.015","0.00036","-0.00014","0","10","Humid","62.42","1","2500.00","292965.96","SADF0001000100","ABF0.1.0.10","4.1.0.2453","PSt7-10","250224-046","4/6/2026 10:23:39 AM","0000-00","0","no battery","V","","µV","","µV"
"04/06/2026","16:49:14","4","default","138668578","NJS_OXY12","0.533","min","41.760","%a.s.","Humid","32.481","deg","101548","µV","23.614","°C","1017.000","hPa","35.6","pmil","0","55.580","deg","20.000","°C","100.000","%a.s.","22.730","deg","20.000","°C","969.000","hPa","0.82","-0.015","0.00036","-0.00014","0","10","Humid","62.42","1","2500.00","292968.11","SADF0001000100","ABF0.1.0.10","4.1.0.2453","PSt7-10","250224-046","4/6/2026 10:23:39 AM","0000-00","0","no battery","V","","µV","","µV"
"04/06/2026","16:49:16","4","default","138668578","NJS_OXY12","0.566","min","41.778","%a.s.","Humid","32.477","deg","101554","µV","23.602","°C","1017.000","hPa","35.6","pmil","0","55.580","deg","20.000","°C","100.000","%a.s.","22.730","deg","20.000","°C","969.000","hPa","0.82","-0.015","0.00036","-0.00014","0","10","Humid","62.42","1","2500.00","292963.30","SADF0001000100","ABF0.1.0.10","4.1.0.2453","PSt7-10","250224-046","4/6/2026 10:23:39 AM","0000-00","0","no battery","V","","µV","","µV"
"04/06/2026","16:49:18","4","default","138668578","NJS_OXY12","0.600","min","41.760","%a.s.","Humid","32.481","deg","101552","µV","23.614","°C","1017.000","hPa","35.6","pmil","0","55.580","deg","20.000","°C","100.000","%a.s.","22.730","deg","20.000","°C","969.000","hPa","0.82","-0.015","0.00036","-0.00014","0","10","Humid","62.42","1","2500.00","292954.90","SADF0001000100","ABF0.1.0.10","4.1.0.2453","PSt7-10","250224-046","4/6/2026 10:23:39 AM","0000-00","0","no battery","V","","µV","","µV"
"04/06/2026","16:49:20","4","default","138668578","NJS_OXY12","0.633","min","41.766","%a.s.","Humid","32.480","deg","101548","µV","23.608","°C","1017.000","hPa","35.6","pmil","0","55.580","deg","20.000","°C","100.000","%a.s.","22.730","deg","20.000","°C","969.000","hPa","0.82","-0.015","0.00036","-0.00014","0","10","Humid","62.42","1","2500.00","292966.23","SADF0001000100","ABF0.1.0.10","4.1.0.2453","PSt7-10","250224-046","4/6/2026 10:23:39 AM","0000-00","0","no battery","V","","µV","","µV"
