sample_ID,species,weight_g,volume_mL,frag_ID,SA_cm2
B15_BF_PI,MCAP,1,472,B15,18
A13_BF_PI,PCOM,1,477,A13,13
BLANK1_BF_PI,BLANK,NA,485,BLANK1,NA
A15_BF_PI,PCOM,1,476,A15,15
B04_BF_PI,MCAP,1,472,B04,18
A08_BF_PI,PCOM,1,476,A08,15
A02_BF_PI,PCOM,1,471,A02,20
B03_BF_PI,MCAP,1,470,B03,20
B16_BF_PI,MCAP,1,475,B16,15
BLANK2_BF_PI,BLANK,NA,485,BLANK2,NA
A03_BF_PI,PCOM,1,475,A03,10
B05_BF_PI,MCAP,1,474,B05,15
