sample_ID,Intercept,umol.L.sec,Temp.C,Light_level,Light_value,run_block
B15_BF_PI,197.17956683760687,-0.004487811965811981,23.962146341463416,1,0,RUN1
A13_BF_PI,191.67278940170945,-0.0028263931623932095,23.861756097560974,1,0,RUN1
BLANK1_BF_PI,197.6887784568372,-2.2711993888460932e-4,23.929146341463415,1,0,RUN1
A15_BF_PI,193.81169839572183,-0.0032643315508020763,23.879634146341463,1,0,RUN1
B04_BF_PI,194.46999096555606,-0.003778317334838947,23.843780487804878,1,0,RUN1
A08_BF_PI,201.00341344537816,-0.002599831932773121,23.84848780487805,1,0,RUN1
A02_BF_PI,199.35960645867533,-0.0036264915161466262,23.917365853658538,1,0,RUN1
B03_BF_PI,197.71509333333344,-0.005225264957265023,23.89921951219512,1,0,RUN1
B16_BF_PI,200.60771231527102,-0.002774334975369517,23.82619512195122,1,0,RUN1
BLANK2_BF_PI,200.01075384615388,2.5610256410255543e-4,23.92307317073171,1,0,RUN1
A03_BF_PI,198.10409373235453,-0.0020313946922641516,23.883268292682928,1,0,RUN1
B05_BF_PI,196.56176256157644,-0.0028110591133005446,23.845756097560976,1,0,RUN1
B15_BF_PI,191.09717744360904,0.00322830827067667,24.120842105263158,2,110,RUN1
A13_BF_PI,187.96009217649237,0.0010368186874305284,23.983605263157894,2,110,RUN1
BLANK1_BF_PI,197.21534072463777,9.5841304347815e-4,24.064894736842106,2,110,RUN1
A15_BF_PI,189.90668478260878,0.0020149703557311434,24.021789473684212,2,110,RUN1
B04_BF_PI,189.4160949579832,0.004799453781512609,23.978973684210526,2,110,RUN1
A08_BF_PI,197.7580759420291,0.0013936086956520305,23.959552631578948,2,110,RUN1
A02_BF_PI,194.20228529411767,0.0035241911764705737,24.044,2,110,RUN1
B03_BF_PI,190.69376036036024,0.006676081081081165,24.063315789473684,2,110,RUN1
B16_BF_PI,197.19381873167143,0.0035296462609971948,24.011394736842107,2,110,RUN1
BLANK2_BF_PI,199.8310463015245,3.2828910220220406e-4,24.11192105263158,2,110,RUN1
A03_BF_PI,195.44424923076926,6.959230769230222e-4,24.11213157894737,2,110,RUN1
B05_BF_PI,192.53062942612942,0.005554181929181927,24.05123684210526,2,110,RUN1
B15_BF_PI,194.47494346829643,0.008100305576776167,23.64112195121951,3,210,RUN1
A13_BF_PI,189.1072207282913,0.002445826330532202,23.513853658536586,3,210,RUN1
BLANK1_BF_PI,197.92795699748336,-4.6474450158662863e-4,23.56980487804878,3,210,RUN1
A15_BF_PI,191.95385996612077,0.003494551101072919,23.54048780487805,3,210,RUN1
B04_BF_PI,194.179408097166,0.008227155870445356,23.495707317073173,3,210,RUN1
A08_BF_PI,199.23113568224102,0.0027639238428711537,23.51080487804878,3,210,RUN1
A02_BF_PI,197.48342258064505,0.002420403225806523,23.63278048780488,3,210,RUN1
B03_BF_PI,197.1713463573462,0.012449755799755888,23.638146341463415,3,210,RUN1
B16_BF_PI,200.83140541871924,0.005535886699507383,23.59109756097561,3,210,RUN1
BLANK2_BF_PI,200.30839461538463,-3.61576923076947e-4,23.731585365853658,3,210,RUN1
A03_BF_PI,196.27252380952385,0.0015390476190476241,23.700243902439023,3,210,RUN1
B05_BF_PI,198.0871851851852,0.008891666666666668,23.637170731707318,3,210,RUN1
B15_BF_PI,203.04546682551313,0.01156429618768333,24.1920243902439,4,309,RUN1
A13_BF_PI,191.72007700534746,0.0033693048128343012,24.065365853658538,4,309,RUN1
BLANK1_BF_PI,197.48656307692303,1.7338461538467812e-4,24.128731707317073,4,309,RUN1
A15_BF_PI,195.76165322580647,0.0047666532258064534,24.069536585365853,4,309,RUN1
B04_BF_PI,202.83305095307918,0.010972525659824078,24.055121951219512,4,309,RUN1
A08_BF_PI,202.16631223328588,0.0032762091038407238,24.052146341463416,4,309,RUN1
A02_BF_PI,199.63614563956673,0.005949874165663604,24.139487804878048,4,309,RUN1
B03_BF_PI,210.40346216216213,0.015735791505791533,24.12980487804878,4,309,RUN1
B16_BF_PI,206.80566532258058,0.00755759714076253,24.069048780487805,4,309,RUN1
BLANK2_BF_PI,199.83396781479377,2.1696781479404727e-4,24.20758536585366,4,309,RUN1
A03_BF_PI,198.11561711229947,0.002068968678380444,24.14468292682927,4,309,RUN1
B05_BF_PI,207.59404032258067,0.012851854838709658,24.103146341463415,4,309,RUN1
B15_BF_PI,215.5368755555557,0.012827760683760554,24.067684210526316,5,398,RUN1
A13_BF_PI,195.41870990695122,0.0033877120963328243,23.94107894736842,5,398,RUN1
BLANK1_BF_PI,197.57591654135342,1.5406015037588525e-4,23.999184210526316,5,398,RUN1
A15_BF_PI,200.83630514504654,0.005392131910235395,23.971236842105263,5,398,RUN1
B04_BF_PI,214.45524727358944,0.011654208155523926,23.92107894736842,5,398,RUN1
A08_BF_PI,205.65382673796793,0.0031420702826585275,23.94121052631579,5,398,RUN1
A02_BF_PI,205.95863333333338,0.00794435064935058,24.048,5,398,RUN1
B03_BF_PI,227.61896499796498,0.017303083028083047,24.06394736842105,5,398,RUN1
B16_BF_PI,214.88620615384616,0.00806961538461539,23.988236842105263,5,398,RUN1
BLANK2_BF_PI,199.98271871921185,1.5524630541873875e-4,24.108315789473686,5,398,RUN1
A03_BF_PI,200.43150027367273,0.0021352900930487048,24.096763157894735,5,398,RUN1
B05_BF_PI,220.32971921182258,0.01601322660098529,24.015052631578946,5,398,RUN1
B15_BF_PI,229.85780049261083,0.012647660098522194,24.06023684210526,6,503,RUN1
A13_BF_PI,199.24921774193547,0.0032377016129032225,23.932026315789475,6,503,RUN1
BLANK1_BF_PI,197.62433743842365,-1.2253694581279404e-4,23.994657894736843,6,503,RUN1
A15_BF_PI,206.92017391304339,0.005334048560135695,23.982894736842105,6,503,RUN1
B04_BF_PI,227.8802984615386,0.012052538461538354,23.92415789473684,6,503,RUN1
A08_BF_PI,209.1731077712609,0.0027197122434018516,23.963,6,503,RUN1
A02_BF_PI,214.9072084980237,0.00863572134387355,24.052552631578948,6,503,RUN1
B03_BF_PI,247.27552406417112,0.01751671122994652,24.073052631578946,6,503,RUN1
B16_BF_PI,223.96862450592872,0.007651976284585131,23.97605263157895,6,503,RUN1
BLANK2_BF_PI,200.0842151260504,-1.9019607843124482e-5,24.085552631578945,6,503,RUN1
A03_BF_PI,202.91211462450585,0.0017841897233202796,24.072552631578947,6,503,RUN1
B05_BF_PI,238.1851220779221,0.015767028265851763,23.981394736842105,6,503,RUN1
B15_BF_PI,245.13341184041175,0.012512902187902263,24.186236842105263,7,613,RUN1
A13_BF_PI,203.09347282051294,0.0029484957264956655,24.05721052631579,7,613,RUN1
BLANK1_BF_PI,197.58691019651457,-1.0785317018901257e-4,24.117605263157895,7,613,RUN1
A15_BF_PI,213.36000769230776,0.005047615384615278,24.11528947368421,7,613,RUN1
B04_BF_PI,242.4395641025641,0.012266910866910877,24.051394736842106,7,613,RUN1
A08_BF_PI,212.537910483871,0.0027619758064516236,24.100210526315788,7,613,RUN1
A02_BF_PI,225.34966320346328,0.009443116883116788,24.18523684210526,7,613,RUN1
B03_BF_PI,268.3415653235653,0.017112942612942616,24.214868421052632,7,613,RUN1
B16_BF_PI,233.0385889328064,0.007639525691699546,24.09878947368421,7,613,RUN1
BLANK2_BF_PI,200.03212391304353,-9.360869565224569e-5,24.206842105263156,7,613,RUN1
A03_BF_PI,205.19490953654196,0.0017486463903742685,24.197684210526315,7,613,RUN1
B05_BF_PI,257.02933669354826,0.0148365469208212,24.101710526315788,7,613,RUN1
B15_BF_PI,259.4013109243698,0.01229970206264322,24.229170731707317,8,705,RUN1
A13_BF_PI,206.4719668453879,0.0029491191596454514,24.10278048780488,8,705,RUN1
BLANK1_BF_PI,197.49351359180042,-6.0394385026781526e-5,24.165048780487805,8,705,RUN1
A15_BF_PI,219.1622753246752,0.005236867838044389,24.162243902439023,8,705,RUN1
B04_BF_PI,255.8288164878598,0.012700959909655765,24.08490243902439,8,705,RUN1
A08_BF_PI,215.70582318840582,0.0027672826086956506,24.138243902439026,8,705,RUN1
A02_BF_PI,236.15671156417113,0.010122576871657744,24.266853658536586,8,705,RUN1
B03_BF_PI,287.97078356928347,0.016662110682110785,24.286292682926828,8,705,RUN1
B16_BF_PI,241.56069511616892,0.007296740161213778,24.20760975609756,8,705,RUN1
BLANK2_BF_PI,199.9565290322581,-5.3346774193555774e-5,24.335365853658537,8,705,RUN1
A03_BF_PI,207.24181711229943,0.0017324598930481792,24.311951219512196,8,705,RUN1
B05_BF_PI,274.0957202917203,0.014987258687258724,24.22680487804878,8,705,RUN1
