date,species,sample_ID,frag_ID,light_dark,run_block,SA_cm2,umol.cm2.hr,chamber_channel,Temp.C,umol.cm2.hr_uncorr,Light_level,Light_value
2026-03-04,MCAP,B15_BF_PI,B15,DARK,RUN1,18,-0.42505510689572135,1,23.962146341463416,-0.423649449572651,1,0
2026-03-04,PCOM,A13_BF_PI,A13,DARK,RUN1,13,-0.37529109002129774,2,23.861756097560978,-0.3733447952662772,1,0
2026-03-04,PCOM,A15_BF_PI,A15,DARK,RUN1,15,-0.3746040251513129,4,23.879634146341463,-0.37291723636362845,1,0
2026-03-04,MCAP,B04_BF_PI,B04,DARK,RUN1,18,-0.3580788137318664,5,23.84378048780488,-0.356673156408796,1,0
2026-03-04,PCOM,A08_BF_PI,A08,DARK,RUN1,15,-0.29869158878768576,6,23.84848780487805,-0.2970048000000013,1,0
2026-03-04,PCOM,A02_BF_PI,A02,DARK,RUN1,20,-0.30871904232967384,7,23.917365853658534,-0.30745395073891046,1,0
2026-03-04,MCAP,B03_BF_PI,B03,DARK,RUN1,20,-0.443322506975384,8,23.89921951219512,-0.44205741538462073,1,0
2026-03-04,MCAP,B16_BF_PI,B16,DARK,RUN1,15,-0.3179609759798086,9,23.82619512195122,-0.31627418719212413,1,0
2026-03-04,PCOM,A03_BF_PI,A03,DARK,RUN1,10,-0.34989867555869636,11,23.883268292682928,-0.34736849237716966,1,0
2026-03-04,MCAP,B05_BF_PI,B05,DARK,RUN1,15,-0.3214728735167539,12,23.845756097560976,-0.31978608472906944,1,0
2026-03-04,MCAP,B15_BF_PI,B15,LIGHT,RUN1,18,0.2423472466863805,1,24.12084210526316,0.30475230075187765,2,110
2026-03-04,PCOM,A13_BF_PI,A13,LIGHT,RUN1,13,0.05054877514436461,2,23.983605263157894,0.13695577308120682,2,110
2026-03-04,PCOM,A15_BF_PI,A15,LIGHT,RUN1,15,0.15530414856012884,4,24.021789473684212,0.23019021343872545,2,110
2026-03-04,MCAP,B04_BF_PI,B04,LIGHT,RUN1,18,0.3906633829092923,5,23.978973684210526,0.4530684369747895,2,110
2026-03-04,PCOM,A08_BF_PI,A08,LIGHT,RUN1,15,0.08431979251269132,6,23.959552631578948,0.15920585739128792,2,110
2026-03-04,PCOM,A02_BF_PI,A02,LIGHT,RUN1,20,0.24261637928222743,7,24.044,0.29878092794117495,2,110
2026-03-04,MCAP,B03_BF_PI,B03,LIGHT,RUN1,20,0.5086319108005188,8,24.063315789473684,0.5647964594594662,2,110
2026-03-04,MCAP,B16_BF_PI,B16,LIGHT,RUN1,15,0.32749360887508305,9,24.011394736842107,0.40237967375367967,2,110
2026-03-04,PCOM,A03_BF_PI,A03,LIGHT,RUN1,10,0.006673748835941915,11,24.11213157894737,0.1190028461538368,2,110
2026-03-04,MCAP,B05_BF_PI,B05,LIGHT,RUN1,15,0.5569576713851386,12,24.05123684210526,0.6318437362637351,2,110
2026-03-04,MCAP,B15_BF_PI,B15,LIGHT,RUN1,18,0.804745435543853,1,23.64112195121951,0.7646688464476695,3,210
2026-03-04,PCOM,A13_BF_PI,A13,LIGHT,RUN1,13,0.378565506040092,2,23.513853658536583,0.32307484421460725,3,210
2026-03-04,PCOM,A15_BF_PI,A15,LIGHT,RUN1,15,0.44730942470198937,4,23.54048780487805,0.3992175177865692,3,210
2026-03-04,MCAP,B04_BF_PI,B04,LIGHT,RUN1,18,0.8167201032662246,5,23.495707317073173,0.7766435141700411,3,210
2026-03-04,PCOM,A08_BF_PI,A08,LIGHT,RUN1,15,0.36384256672502036,6,23.51080487804878,0.3157506598096002,3,210
2026-03-04,PCOM,A02_BF_PI,A02,LIGHT,RUN1,20,0.2412707156704419,7,23.63278048780488,0.2052017854838768,3,210
2026-03-04,MCAP,B03_BF_PI,B03,LIGHT,RUN1,20,1.0893182708459126,8,23.638146341463415,1.0532493406593475,3,210
2026-03-04,MCAP,B16_BF_PI,B16,LIGHT,RUN1,15,0.6791829906592615,9,23.59109756097561,0.6310910837438414,3,210
2026-03-04,PCOM,A03_BF_PI,A03,LIGHT,RUN1,10,0.3353150032302732,11,23.700243902439023,0.26317714285714305,3,210
