sample_ID,NOTES,genotype,treatment,rep_number_tank,coral_species,sp,tank,Timepoint,DNA
B04_1_MONO,,B04,MONO,1,Montipora capitata,MCAP,TANK10,T1,
B01_4_MONO,EXTRA,,,,,,TANK10,T1,A05_1_6SP TUBE
B02_6_MONO,EXTRA,,,,,,TANK10,T1,A06_1_6SP TUBE
B03_3_MONO,EXTRA,,,,,,TANK10,T1,A07_1_6SP TUBE
B04_4_MONO,EXTRA,,,,,,TANK10,T1,A08_1_6SP TUBE
B13_1_FAKE,,B13,FAKE,1,Montipora capitata,MCAP,TANK11,T1,
B14_1_FAKE,,B14,FAKE,1,Montipora capitata,MCAP,TANK11,T1,
B15_1_FAKE,,B15,FAKE,1,Montipora capitata,MCAP,TANK11,T1,
B16_1_FAKE,,B16,FAKE,1,Montipora capitata,MCAP,TANK11,T1,
A01_1_FAKE,,A01,FAKE,1,Porites compressa,PCOM,TANK12,T1,
A02_1_FAKE,,A02,FAKE,1,Porites compressa,PCOM,TANK12,T1,
A03_1_FAKE,,A03,FAKE,1,Porites compressa,PCOM,TANK12,T1,
A04_1_FAKE,,A04,FAKE,1,Porites compressa,PCOM,TANK12,T1,
A13_1_6SP,,A13,6SP,1,Porites compressa,PCOM,TANK13,T1,
A14_1_6SP,,A14,6SP,1,Porites compressa,PCOM,TANK13,T1,
A15_1_6SP,,A15,6SP,1,Porites compressa,PCOM,TANK13,T1,
A16_1_6SP,,A16,6SP,1,Porites compressa,PCOM,TANK13,T1,
B13_1_6SP,,B13,6SP,1,Montipora capitata,MCAP,TANK13,T1,
B14_1_6SP,,B14,6SP,1,Montipora capitata,MCAP,TANK13,T1,
B15_1_6SP,,B15,6SP,1,Montipora capitata,MCAP,TANK13,T1,
B16_1_6SP,,B16,6SP,1,Montipora capitata,MCAP,TANK13,T1,
C13_1_6SP,,C13,6SP,1,Pocillopora meandrina,PMEA,TANK13,T1,
C14_1_6SP,,C14,6SP,1,Pocillopora meandrina,PMEA,TANK13,T1,
