"CobleA","CobleB","CobleC","CobleM","CobleT","Fpeak","Stedmon_D","Optical_Brighteners","dieselBandII","Petroleum","Lignin","BIX","HIX","FI","M_to_C","JP5_empirical","JP5_normalized","Diesel_Chen","sample","run_name","UniqueID"
0.0195678335004913,0.0125739920013199,0.0203334742208734,0.0210241560381113,0.0339452232958621,0.0120236145058433,0.009365191815126,0.0157450635959207,0.0068324429437008,0.0219310962153515,0,0.971915704228009,1.38339497834863,1.56103951216585,1.03396772286602,1.58365475053579,0.0610255707458434,7.74944036472991,"Group001Sample0001","run2","BIOFAC_31"
0.0183309128673758,0.00409896061575388,0.0183180993183556,0.0203959230923299,0.0313688457318601,0,0.00895129701394182,0.0152496965287267,0.00692780814775742,0.022043202688462,0,0.914634847425086,1.35977262749924,1.65364185045175,1.11343009653257,1.26276942835554,0.0518064937753903,6.88505379974274,"Group001Sample0002","run2","BIOFAC_32"
0.0187127991929043,0.00666836502553531,0.0184129892730609,0.0194960743343866,0.0299949609897729,0,0.00919757304894564,0.0148883645571963,0.00725247625906289,0.024142658011497,0,0.965412734139316,1.21184720015566,1.54451834922885,1.05882179396641,1.31306486799864,0.0547709290462652,6.84975597505116,"Group001Sample0003","run2","BIOFAC_33"
0.0192115911009844,0.0148263331546636,0.0189131788049587,0.0195619310216081,0.0353521783052635,0.0159834942999849,0.00915021825249357,0.015165513337695,0.00719748912619349,0.0231523592223612,0,0.936684456563877,1.15530652536175,1.54699082287568,1.03430159590514,1.58835714506314,0.0643096728097464,7.49574639678501,"Group001Sample0004","run2","BIOFAC_34"
0.0188155304330653,0.0100941974206956,0.0192771025286049,0.0192931671967146,0.0362818735405957,0.00884928055716869,0.0085382483026984,0.0154818851286511,0.00639239607916251,0.0228635842491852,0.0233715639850796,0.858538029985741,1.1997016416623,1.5271338891206,1.00083335491347,1.61800562179667,0.0643460895022092,7.78781754578191,"Group001Sample0005","run2","BIOFAC_35"
0.01863914240406,0.0061766715924709,0.0188108638243919,0.0194449681127248,0.0323713228034883,0.00292943122103066,0.00884213686026714,0.0143425432527326,0.0072136726888351,0.022584124422666,0,0.889049142954159,1.20778196432562,1.55028027093524,1.03370947205044,1.38493279185066,0.0571391493091981,7.25162316652291,"Group001Sample0006","run2","BIOFAC_36"
0.0195515117786248,0.0183165723750341,0.019067432574776,0.0203119173330904,0.0464297896766566,0,0.00907499097926132,0.0153942340944602,0.00723162164101339,0.0236736291697797,0.0275666240033207,0.847825174025434,1.00093529649835,1.48293130205756,1.0652675578337,2.00097402291538,0.0759655478445007,8.79669165140956,"Group001Sample0007","run2","BIOFAC_37"
0.0186698800959702,0.0026769550567933,0.0181403350451157,0.0186133676978252,0.0310676921449069,0.00792267213246177,0.0081784814623327,0.0142746359545419,0.00644742536386504,0.0219262250296179,0,0.89502062988019,1.33895901739377,1.5295147602832,1.02607629084761,1.33622107850791,0.0587415294124712,6.45771281755015,"Group001Sample0008","run2","BIOFAC_38"
0.0191203506525375,0.0160958862701415,0.0199467424338866,0.0208959471599637,0.0358893529158472,0,0.00888335203980036,0.0153842298250942,0.00674738265436979,0.0237696761765441,0,0.918450365737483,1.28838311197953,1.52966681426554,1.04758695457282,1.59408523496365,0.0616279932462861,7.88461676357509,"Group001Sample0009","run2","BIOFAC_39"
0.0199802215585229,0.0180864709077926,0.0204258791233639,0.0225002745638673,0.0358521212525669,0,0.00936776408673895,0.0153077549663193,0.00731027338457876,0.0249997012741528,0,0.841773658009496,1.2037172300643,1.62227301149271,1.10155721709577,1.67356913780521,0.0619556718985201,8.55435361084019,"Group001Sample0010","run2","BIOFAC_40"
0.0203725650646766,0.0780235310145453,0.0202642811371695,0.0216364560654693,0.118144591141197,0,0.00903242277024852,0.0155747439698875,0.00745603197287132,0.0241185717936724,0,0.934225007683063,0.615138336817955,1.5062362996757,1.06771397016314,4.90635325731703,0.141833855782721,15.8082624614724,"Group002Sample0001","run2","BIOFAC_41"
0.0194556509611737,0.0322414811698399,0.0195403431706637,0.0214849166412505,0.0538252883057791,0,0.00922724451489236,0.0155516702386079,0.0069345878030403,0.022300018860926,0,0.904582169176813,1.03369390888104,1.52395205443735,1.0995158300754,2.33402224702648,0.0849184185896472,9.27101894246154,"Group002Sample0002","run2","BIOFAC_42"
0.0198954373908566,0.0243912685595943,0.0201061020601989,0.0216561794131299,0.0422282079523661,0.0199851587595358,0.00931702355629408,0.0163441627077438,0.00710932182800576,0.0229414272091264,0,0.81021104703739,0.966425488634372,1.58741886194377,1.07709487141217,1.93154125284438,0.0687823765181715,9.52010441419997,"Group002Sample0003","run2","BIOFAC_43"
0.019384777259812,0.0209847220484271,0.0199183399339994,0.0210438974442112,0.0366604412525413,0.0181245740540548,0.00913712824529715,0.0153298351463963,0.00714664861067158,0.0236576863240827,0.00899140770855383,0.872607730378882,1.14361076622786,1.48601268860999,1.05650860031215,1.70710668959983,0.0638518270698144,8.22016916051266,"Group002Sample0004","run2","BIOFAC_44"
0.0198708606665922,0.0254398809633258,0.0202394840509392,0.0223364727111916,0.0404966552084141,0,0.00887095855544439,0.0168851157926361,0.00695613135041506,0.0234223421850003,0.0160167323826366,0.977229963422966,1.20064011908996,1.52777596064172,1.10360880025274,1.91098791788733,0.0678082302500151,8.87438158002536,"Group002Sample0005","run2","BIOFAC_45"
0.0201749878815933,0.0119824818059326,0.02020885874402,0.0218592349750609,0.0359702042256027,0,0.00961826552637235,0.0158197988815995,0.00749859155592271,0.0236356370560495,0,0.867029840150432,1.21465023394834,1.43394021773749,1.08166597886331,1.56125457143946,0.0601556782367471,7.74444185367854,"Group002Sample0006","run2","BIOFAC_46"
0.0197789402488816,0.0349230403929512,0.0206085616224533,0.0210920306135296,0.0624595113647745,0,0.009522193274875,0.0157439058935036,0.00742765808378907,0.0255611386167555,0,0.957710990556971,0.92263702959784,1.52070454540696,1.02345961838257,2.60596859377543,0.0882459968965681,10.656950041727,"Group002Sample0007","run2","BIOFAC_47"
0.0203665786563721,0.0301309485065896,0.0205353833291524,0.0220333320855489,0.0553016120425325,0,0.00949268067881283,0.0159193111286618,0.00732953795949183,0.0230274879397578,0,0.885734330776617,0.995748070619108,1.55724598053723,1.07294476720432,2.41624813312139,0.0848207892670843,9.84022838462608,"Group002Sample0008","run2","BIOFAC_48"
0.0195663409274846,0.00624258298944677,0.0199475821744721,0.0208222368942211,0.0217983392446488,0,0.00884991028914304,0.0157055038188956,0.00698709445405174,0.0235962807408048,0,0.843682105086693,2.10941345224924,1.47849038513719,1.04384765592635,0.887233295646361,0.0366961290134267,6.14061070902753,"Group002Sample0009","run2","BIOFAC_49"
0.0191772580087699,0.0144103641032303,0.0198499471076098,0.0199688320004748,0.044229497765418,0,0.00910474118100322,0.0155200549385798,0.007077659936113,0.0231653376606851,0.0131674686888313,0.862712506581656,1.13877960854433,1.56378990508404,1.0059891793273,1.88318983798465,0.0720648793715199,8.35708408592698,"Group002Sample0010","run2","BIOFAC_50"
0.0188412492172876,0.00931955272087456,0.019673651916311,0.020325163887656,0.0309632059451854,0,0.00928707274150303,0.0155619198956272,0.00683400844332016,0.0242793535480195,0,0.928999258110608,1.46944707176979,1.46774606176692,1.03311596515565,1.30582925330167,0.0509584258858929,7.47010139313704,"Group003Sample0001","run2","BIOFAC_51"
0.0199971971214088,0.0085985080640848,0.020035012429751,0.0213823152998861,0.0292260354445217,0,0.00942310492131268,0.0154204002864034,0.00708048688038142,0.0221678965220196,0,0.882380630459842,1.45955562312562,1.54754251273699,1.06724741873054,1.23422486556678,0.0492692729660917,7.01707107835945,"Group003Sample0002","run2","BIOFAC_52"
0.0194009233898709,0.0111591643584603,0.0196966922768575,0.0203302143073857,0.0340277757090084,0.00257567505065347,0.00913814557059846,0.0151039257189749,0.00670809376089537,0.0233424913590441,0,0.908775925787799,1.39632927535907,1.50741520063359,1.0321638791744,1.47670812396027,0.0582221557001011,7.63542235066011,"Group003Sample0003","run2","BIOFAC_53"
